# mpu9150 IMU data started at: 14:21:50 2013-05-13
# mpu9150 IMU raw data
# timestamp,ax,ay,az,gx,gy,gz,C
1368480111.072625,65446,65498,4015,26,24,65506,23.14
1368480111.074636,65460,65500,4050,12,12,65494,23.19
1368480111.076835,65457,65493,4024,21,15,65502,23.14
1368480111.078930,65464,65497,4043,23,22,65494,23.19
1368480111.081084,65481,65472,4048,23,27,65506,23.14
1368480111.083175,65476,65474,4013,21,20,65499,23.19
1368480111.085307,65467,65495,4056,24,30,65503,23.05
1368480111.087442,65448,65474,4027,33,33,65500,23.09
1368480111.089556,65457,65458,4005,34,19,65491,23.14
1368480111.091741,65469,65472,4001,26,22,65500,23.09
1368480111.093859,65460,65484,4024,27,14,65496,23.14
1368480111.095968,65473,65505,4061,23,25,65500,23.09
1368480111.098105,65468,65479,4052,24,35,65481,23.14
1368480111.100246,65449,65490,4023,32,9,65506,23.09
1368480111.102338,65467,65477,4061,35,31,65501,23.14
1368480111.104466,65451,65481,4048,18,14,65507,23.09
1368480111.106607,65462,65477,4031,26,23,65489,23.05
1368480111.108723,65447,65472,4030,34,7,65508,23.19
1368480111.110910,65460,65465,4057,26,7,65518,23.05
1368480111.112999,65490,65486,3983,21,21,65503,23.09
1368480111.115109,65472,65474,4060,43,13,65500,23.14
1368480111.117243,65444,65497,3999,7,25,65495,23.09
1368480111.119357,65461,65497,4038,20,17,65511,23.14
1368480111.121511,65479,65480,4040,36,11,65509,23.09
1368480111.123673,65435,65466,4046,23,65533,65497,23.14
1368480111.125713,65446,65497,4013,33,17,65503,23.19
1368480111.127901,65457,65465,4057,15,23,65511,23.14
1368480111.129953,65456,65458,4039,39,65535,65498,23.09
1368480111.132069,65439,65502,4023,23,27,65499,23.14
1368480111.134200,65486,65491,4042,32,24,65510,23.09
1368480111.136328,65467,65478,4048,31,27,65497,23.05
1368480111.138455,65469,65494,4035,28,4,65506,23.09
1368480111.140581,65457,65486,4022,19,21,65492,23.14
1368480111.142718,65473,65481,4038,25,29,65504,23.19
1368480111.144879,65440,65479,4063,24,20,65482,23.05
1368480111.146979,65459,65494,4036,22,30,65519,23.28
1368480111.149096,65470,65474,4049,31,6,65497,23.14
1368480111.151256,65465,65488,4038,12,23,65496,23.19
1368480111.153435,65469,65482,4017,29,33,65491,23.14
1368480111.155585,65490,65458,4052,23,8,65500,23.19
1368480111.157695,65462,65502,4021,25,24,65492,23.14
1368480111.159833,65483,65477,4017,34,23,65495,23.19
1368480111.161994,65473,65482,4008,31,19,65516,23.24
1368480111.164078,65441,65482,3988,9,23,65484,23.19
1368480111.166206,65465,65491,4038,24,18,65516,23.14
1368480111.168334,65456,65468,4008,25,26,65493,23.19
1368480111.170462,65449,65469,4024,23,19,65509,23.24
1368480111.172594,65448,65516,4024,27,6,65497,23.00
1368480111.174720,65459,65500,4025,25,9,65496,23.14
1368480111.176798,65437,65486,4027,18,18,65499,23.09
1368480111.179028,65455,65481,4026,23,20,65502,23.14
1368480111.181097,65451,65496,4009,41,16,65499,23.19
1368480111.183228,65443,65479,4008,17,13,65477,23.14
1368480111.185335,65463,65470,4058,12,20,65509,23.19
1368480111.187423,65437,65487,4024,28,13,65490,23.14
1368480111.189552,65448,65475,4030,22,20,65503,23.19
1368480111.191680,65473,65499,3993,33,22,65482,23.14
1368480111.193802,65484,65488,4045,18,13,65486,23.09
1368480111.195997,65473,65485,3989,32,16,65500,23.14
1368480111.198063,65465,65506,4012,18,11,65507,23.09
1368480111.200192,65450,65508,4055,21,42,65514,23.14
1368480111.202310,65476,65491,4000,35,11,65496,23.19
1368480111.204463,65454,65483,4051,23,17,65496,23.14
1368480111.206579,65479,65500,4008,36,24,65484,23.19
1368480111.208708,65465,65476,4035,28,17,65501,23.14
1368480111.210818,65445,65462,4013,23,12,65496,23.09
1368480111.213253,65467,65500,4059,21,6,65513,23.14
1368480111.215169,65465,65483,4054,29,11,65479,23.09
1368480111.217305,65451,65498,3983,26,43,65500,23.14
1368480111.219428,65461,65495,4014,27,27,65498,23.09
1368480111.221574,65492,65488,4053,23,24,65499,23.05
1368480111.223704,65450,65487,4017,30,15,65498,23.09
1368480111.225817,65458,65447,4035,22,17,65497,23.14
1368480111.227955,65475,65482,4033,20,20,65517,23.09
1368480111.230119,65467,65485,4017,23,16,65492,23.14
1368480111.232204,65467,65500,4030,28,16,65515,23.19
1368480111.234328,65489,65481,4012,22,28,65484,23.14
1368480111.236459,65470,65487,3998,22,22,65493,23.09
1368480111.238587,65484,65505,4013,17,26,65490,23.14
1368480111.240710,65442,65472,4022,19,20,65493,23.19
